games,mean_score,rate_2048,max_score,seconds
1000,9309,0.029,30564,11.7
2000,13730,0.076,35216,28.7
3000,16266,0.159,60636,48.3
4000,17901,0.22,56412,69.5
5000,19792,0.295,71836,92.9
6000,21030,0.327,68640,118.0
7000,22089,0.362,72364,144.6
8000,24117,0.456,71776,174.2
9000,24812,0.496,78224,203.9
10000,26750,0.545,76388,233.4
11000,28148,0.605,83952,264.0
12000,29277,0.635,79192,296.6
13000,30896,0.673,122728,328.8
14000,31533,0.668,85368,363.6
15000,33797,0.752,118888,399.0
16000,33852,0.728,115248,435.1
17000,34389,0.741,82048,472.2
18000,35820,0.753,100244,510.6
19000,37871,0.778,114700,551.5
20000,38748,0.81,103592,578.1
21000,39334,0.799,114888,607.6
22000,40759,0.821,126704,645.1
23000,42905,0.845,117516,684.7
24000,42188,0.827,124916,718.9
25000,43730,0.862,127652,744.6
26000,44609,0.853,148272,772.0
27000,45255,0.863,144344,797.8
28000,45169,0.837,132388,829.5
29000,47198,0.856,131384,869.5
30000,46974,0.858,168672,904.7
31000,49172,0.882,132764,943.9
32000,49123,0.875,133816,974.7
33000,49577,0.873,169152,1004.0
34000,50057,0.882,132948,1032.9
35000,50758,0.892,133812,1059.6
36000,51583,0.888,155668,1087.9
37000,52004,0.888,136740,1123.9
38000,52699,0.905,140576,1168.0
39000,53423,0.904,133216,1212.5
40000,54891,0.905,143956,1258.9
41000,53674,0.91,133228,1305.9
42000,54625,0.906,133328,1353.8
43000,54886,0.898,132868,1401.1
44000,55413,0.907,135392,1446.5
45000,56848,0.917,142400,1493.9
46000,56585,0.915,162624,1539.7
47000,56957,0.923,148616,1585.6
48000,55124,0.909,131536,1631.5
49000,57963,0.918,135244,1680.2
50000,57349,0.909,133016,1729.6
51000,57501,0.922,133988,1778.4
52000,57808,0.911,133636,1826.7
53000,57069,0.912,133332,1875.4
54000,58953,0.932,142260,1925.5
55000,59513,0.933,145248,1975.6
56000,58416,0.928,134636,2025.5
57000,59018,0.918,133716,2078.8
58000,58587,0.915,155116,2128.4
59000,60571,0.938,141196,2180.2
60000,58740,0.927,158692,2229.4
61000,58990,0.927,136380,2278.3
62000,61073,0.936,157204,2329.3
63000,61048,0.931,146464,2381.3
64000,61681,0.939,152288,2431.7
65000,60869,0.94,139392,2481.5
66000,59896,0.93,135848,2533.0
67000,62189,0.936,141176,2583.4
68000,60106,0.916,149152,2635.1
69000,60381,0.942,132916,2683.6
70000,60531,0.926,140820,2731.4
71000,59819,0.931,158692,2780.5
72000,61032,0.94,155900,2830.2
73000,62513,0.944,147352,2881.6
74000,61965,0.932,146624,2934.6
75000,61784,0.935,149932,2987.9
76000,60939,0.948,140360,3041.3
77000,61132,0.938,142924,3092.0
78000,61834,0.94,156956,3142.1
79000,61125,0.927,149588,3191.7
80000,62050,0.939,133068,3242.6
81000,63559,0.956,148972,3295.7
82000,62605,0.944,157440,3345.5
83000,62381,0.944,134228,3395.5
84000,61799,0.941,133220,3444.8
85000,62963,0.945,162780,3493.3
86000,62377,0.944,140432,3540.8
87000,63367,0.954,133656,3589.9
88000,64330,0.958,165056,3638.6
89000,63605,0.952,147200,3686.9
90000,63137,0.951,133564,3735.4
91000,62642,0.942,157976,3784.8
92000,63335,0.943,137036,3835.8
93000,63175,0.948,141672,3888.1
94000,63005,0.945,146132,3938.7
95000,64798,0.949,134072,3991.9
96000,64531,0.954,162168,4044.9
97000,63100,0.957,168136,4095.6
98000,63063,0.952,158200,4147.1
99000,64958,0.957,142080,4196.5
100000,64783,0.962,149008,4250.6
