games,mean_score,rate_2048,max_score,alpha,seconds
1000,7969,0.004,28112,0.1,5.8
2000,11753,0.031,37800,0.1,13.5
3000,13452,0.071,34748,0.1,22.1
4000,15337,0.123,36568,0.1,31.0
5000,16843,0.173,43840,0.1,40.9
6000,17971,0.215,56072,0.1,51.1
7000,19408,0.286,54912,0.1,71.3
8000,19853,0.286,59748,0.1,116.9
9000,21477,0.367,61076,0.1,157.1
10000,21946,0.367,77136,0.1,201.8
11000,22956,0.419,69368,0.1,255.2
12000,24116,0.441,70368,0.1,289.9
13000,25246,0.505,80048,0.1,304.0
14000,26411,0.538,81572,0.1,318.1
15000,27200,0.56,81476,0.1,332.8
16000,27070,0.545,81476,0.1,381.2
17000,29242,0.599,80644,0.1,445.7
18000,28960,0.605,78944,0.1,511.4
19000,30465,0.626,91016,0.1,575.2
20000,30513,0.629,81324,0.1,639.0
21000,31285,0.641,115536,0.1,711.3
22000,31988,0.655,83664,0.1,780.4
23000,32859,0.656,90144,0.1,850.7
24000,32881,0.687,80864,0.1,928.4
25000,34988,0.695,105384,0.1,997.9
26000,35469,0.708,123836,0.1,1081.4
27000,35952,0.724,109416,0.1,1160.8
28000,35851,0.728,113056,0.1,1242.4
29000,36343,0.718,114036,0.1,1315.0
30000,36590,0.717,108808,0.1,1392.3
31000,37588,0.744,112808,0.1,1473.5
32000,38464,0.76,125576,0.1,1557.7
33000,40116,0.784,132252,0.1,1647.3
34000,41057,0.784,118496,0.1,1733.6
35000,41453,0.791,122344,0.1,1820.2
36000,41686,0.776,131480,0.1,1913.1
37000,43492,0.806,136568,0.1,2007.9
38000,42452,0.805,131768,0.1,2101.2
39000,43184,0.822,129552,0.1,2199.6
40000,43577,0.802,140500,0.1,2295.4
41000,43755,0.81,135932,0.1,2393.6
42000,44840,0.819,160704,0.1,2491.1
43000,45273,0.82,150880,0.1,2588.3
44000,45393,0.83,145836,0.1,2684.8
45000,45008,0.813,146440,0.1,2779.0
46000,47526,0.841,135264,0.1,2877.9
47000,46969,0.828,155736,0.1,2975.7
48000,47810,0.851,151848,0.1,3073.6
49000,47826,0.842,140352,0.1,3171.4
50000,49303,0.851,157212,0.1,3274.8
51000,48217,0.841,154340,0.1,3376.2
52000,48099,0.822,156192,0.1,3481.1
53000,49777,0.858,146520,0.1,3591.0
54000,50716,0.851,150400,0.1,3703.5
55000,51912,0.877,169612,0.1,3826.1
56000,50950,0.875,161224,0.1,3928.3
57000,50944,0.859,148696,0.1,4034.4
58000,52637,0.873,158144,0.1,4143.2
59000,51116,0.841,146192,0.1,4252.0
60000,52488,0.853,140180,0.1,4346.2
61000,54660,0.884,157988,0.1,4459.3
62000,53459,0.856,161620,0.1,4568.8
63000,52752,0.854,177044,0.1,4676.1
64000,54785,0.866,162236,0.1,4786.2
65000,54825,0.884,146132,0.1,4896.7
66000,55518,0.874,160336,0.1,5007.9
67000,55848,0.878,157088,0.1,5103.8
68000,56117,0.88,146388,0.1,5207.6
69000,55334,0.869,147528,0.1,5320.4
70000,57049,0.888,168204,0.1,5433.1
71000,57604,0.882,172380,0.1,5548.2
72000,57009,0.872,168744,0.1,5661.9
73000,57190,0.874,168952,0.1,5772.9
74000,59035,0.878,170948,0.1,6449.4
75000,57899,0.886,167884,0.1,6481.0
76000,58799,0.902,171912,0.1,6507.7
77000,58303,0.884,178292,0.1,6533.5
78000,59637,0.883,157132,0.1,6611.4
79000,60026,0.896,173324,0.1,15620.2
80000,60860,0.913,149360,0.1,15663.6
81000,61225,0.89,169856,0.1,15698.9
82000,60915,0.899,158688,0.1,15945.5
83000,62175,0.887,173936,0.1,15998.4
84000,61055,0.885,168396,0.1,16084.9
85000,61922,0.887,172012,0.1,16149.7
86000,61070,0.891,188564,0.1,16177.7
87000,61959,0.882,169888,0.1,16206.2
88000,65254,0.913,173360,0.1,16239.4
89000,60667,0.896,169628,0.1,16318.3
90000,63776,0.891,173316,0.1,16420.5
91000,61963,0.896,171652,0.1,16503.1
92000,65128,0.908,170616,0.1,16599.7
93000,64319,0.896,177140,0.1,16689.6
94000,65723,0.909,230112,0.1,16735.3
95000,62860,0.901,168884,0.1,16764.4
96000,64638,0.899,176856,0.1,16795.0
97000,64191,0.891,174888,0.1,16825.3
98000,63850,0.901,186100,0.1,16856.9
99000,67900,0.905,179072,0.1,16891.0
100000,64966,0.895,168260,0.1,16924.6
101000,67002,0.903,171692,0.1,16959.4
102000,68108,0.909,169912,0.1,16994.3
103000,67781,0.909,173220,0.1,17029.2
104000,67836,0.912,172988,0.1,17071.8
105000,66661,0.912,171548,0.1,17173.8
106000,68377,0.905,166968,0.1,17274.1
107000,69890,0.905,177116,0.1,17377.9
108000,67535,0.905,172828,0.1,17477.0
109000,71463,0.912,175532,0.1,17579.6
110000,70691,0.926,174276,0.1,17679.3
111000,68328,0.901,234076,0.1,31057.2
112000,69620,0.901,176832,0.1,31104.8
113000,69268,0.904,176248,0.1,31212.7
114000,70997,0.913,170296,0.1,31305.9
115000,71191,0.917,178444,0.1,31470.6
116000,71786,0.913,175812,0.1,31614.9
117000,72894,0.917,177552,0.1,31763.0
118000,72606,0.925,229556,0.1,31909.2
119000,71919,0.905,173080,0.1,32055.0
120000,72434,0.904,178860,0.1,32202.9
121000,72359,0.893,177024,0.1,32349.3
122000,72248,0.897,178992,0.1,32495.5
123000,73236,0.906,177536,0.1,32654.4
124000,74719,0.922,180720,0.1,32805.3
125000,73460,0.913,195244,0.1,32954.4
126000,72736,0.9,215744,0.1,33016.9
127000,76669,0.916,222192,0.1,33062.9
128000,76224,0.934,227572,0.1,33110.5
129000,75196,0.927,193172,0.1,33156.8
130000,76501,0.928,177184,0.1,33203.5
131000,76047,0.914,193816,0.1,33248.4
132000,77859,0.927,192412,0.1,33295.9
133000,77496,0.907,178724,0.1,33341.1
134000,73523,0.902,174316,0.1,33399.1
135000,77238,0.909,196120,0.1,33450.7
136000,77610,0.907,184436,0.1,33499.3
137000,78840,0.927,238112,0.1,33548.7
138000,74911,0.903,177280,0.1,33595.3
139000,77979,0.929,177280,0.1,33641.4
140000,78061,0.918,175104,0.1,33694.8
141000,78103,0.927,181304,0.1,33749.8
142000,78004,0.913,177268,0.1,33803.5
143000,80282,0.895,224212,0.1,33864.8
144000,79379,0.922,180424,0.1,33915.1
145000,82306,0.929,251780,0.1,33965.4
146000,81002,0.915,183388,0.1,34020.3
147000,81650,0.926,260996,0.1,34081.7
148000,82344,0.932,177248,0.1,34146.2
149000,80714,0.907,188812,0.1,34208.0
150000,82355,0.927,177752,0.1,34265.9
151000,84303,0.938,214920,0.1,34315.0
152000,82919,0.92,264084,0.1,34365.4
153000,82958,0.912,201296,0.1,34412.4
154000,83567,0.922,231788,0.1,34462.0
155000,85507,0.929,224044,0.1,34512.8
156000,83504,0.924,229372,0.1,34560.2
157000,84540,0.918,241912,0.1,34611.3
158000,84647,0.911,180220,0.1,34659.7
159000,83371,0.908,180492,0.1,34709.5
160000,87335,0.926,227232,0.1,34763.5
161000,86038,0.94,186832,0.1,34813.7
162000,84359,0.917,232664,0.1,34865.8
163000,87072,0.931,217388,0.1,34917.8
164000,83682,0.927,195440,0.1,34963.7
165000,84566,0.911,228540,0.1,35023.4
166000,87235,0.927,214216,0.1,35083.3
167000,86436,0.922,193856,0.1,35138.9
168000,85928,0.927,198192,0.1,35192.7
169000,85917,0.92,270412,0.1,35245.4
170000,85489,0.919,189296,0.1,35296.3
171000,87461,0.934,212616,0.1,35351.3
172000,86628,0.926,279948,0.1,35404.6
173000,86931,0.918,244832,0.1,35457.9
174000,88063,0.925,227472,0.1,35510.4
175000,88678,0.931,193040,0.1,35562.0
176000,87725,0.924,180488,0.1,35616.2
177000,87880,0.924,269268,0.1,35665.8
178000,86396,0.92,200904,0.1,35715.9
179000,89415,0.929,228820,0.1,35767.2
180000,87576,0.94,201652,0.1,35819.7
181000,88677,0.931,233916,0.1,35871.6
182000,90150,0.931,266556,0.1,35922.3
183000,89482,0.923,193520,0.1,35973.8
184000,92696,0.939,229216,0.1,36026.4
185000,89436,0.925,193872,0.1,36080.5
186000,89870,0.936,246640,0.1,36141.2
187000,89820,0.931,217428,0.1,36195.1
188000,88203,0.925,202244,0.1,36247.4
189000,89532,0.921,239252,0.1,36299.5
190000,90466,0.932,268192,0.1,36351.3
191000,89388,0.912,248472,0.1,36401.9
192000,89811,0.93,246220,0.1,36451.8
193000,90147,0.922,234704,0.1,36502.3
194000,89552,0.919,221796,0.1,36554.3
195000,92514,0.939,285740,0.1,36606.6
196000,91252,0.933,193232,0.1,36659.5
197000,90639,0.928,225452,0.1,36714.8
198000,93345,0.936,246080,0.1,36767.9
199000,93262,0.936,289924,0.1,36821.6
200000,91429,0.921,229080,0.1,36868.4
201000,93379,0.939,256128,0.1,36915.7
202000,91280,0.939,200540,0.1,36961.0
203000,92551,0.932,261692,0.1,37013.3
204000,91980,0.936,231988,0.1,37074.4
205000,93600,0.937,246804,0.1,37144.1
206000,92525,0.932,246152,0.1,37213.7
207000,94539,0.936,194892,0.1,37283.8
208000,92946,0.929,261292,0.1,37352.8
209000,93707,0.931,196792,0.1,37418.8
210000,89575,0.92,269604,0.1,37484.7
211000,93804,0.932,239064,0.1,37556.4
212000,94987,0.921,282720,0.1,37631.1
213000,94889,0.922,265188,0.1,37707.8
214000,93817,0.937,242316,0.1,37783.7
215000,97529,0.942,236156,0.1,37857.1
216000,93006,0.929,226828,0.1,37924.8
217000,95039,0.939,245816,0.1,37994.6
218000,96800,0.945,269264,0.1,38062.2
219000,92323,0.934,271920,0.1,38124.8
220000,94524,0.947,242080,0.1,38189.8
221000,93773,0.935,275176,0.1,38258.6
222000,95999,0.933,243060,0.1,38328.1
223000,97451,0.942,239696,0.1,38397.0
224000,97017,0.941,244268,0.1,38465.8
225000,94792,0.934,209208,0.1,38533.7
226000,94687,0.937,242080,0.1,38602.4
227000,96417,0.946,290572,0.1,38673.1
228000,94217,0.939,266496,0.1,38743.1
229000,97396,0.94,245280,0.1,38816.6
230000,94525,0.929,232816,0.1,38886.6
231000,95648,0.941,246112,0.1,38957.2
232000,96583,0.944,270220,0.1,39028.7
233000,95309,0.945,230940,0.1,39100.3
234000,96800,0.955,242592,0.1,39171.9
235000,96694,0.95,259888,0.1,39244.6
236000,94985,0.943,246692,0.1,39316.4
237000,97817,0.959,258992,0.1,39390.7
238000,95971,0.932,247036,0.1,39461.7
239000,94928,0.917,225644,0.1,39533.2
240000,98049,0.938,239428,0.1,39601.5
241000,97201,0.934,233228,0.1,39657.9
242000,97876,0.952,239008,0.1,39714.8
243000,95613,0.943,237660,0.1,39769.5
244000,97193,0.933,243176,0.1,39822.1
245000,99395,0.947,258644,0.1,39877.5
246000,99139,0.935,242956,0.1,39934.6
247000,99599,0.944,230048,0.1,39991.3
248000,100396,0.94,246980,0.1,40045.9
249000,93914,0.924,254212,0.1,40098.0
250000,97593,0.939,244852,0.1,40152.9
251000,98402,0.944,261760,0.1,40209.1
252000,99331,0.935,230156,0.1,40264.2
253000,96641,0.95,270544,0.1,40317.8
254000,100002,0.945,266536,0.1,40373.3
255000,97792,0.922,247796,0.1,40429.3
256000,98199,0.947,236576,0.1,40484.8
257000,99123,0.93,224860,0.1,40539.8
258000,100657,0.943,286608,0.1,40597.8
259000,100448,0.945,199572,0.1,40656.3
260000,99457,0.939,287012,0.1,40713.2
261000,97417,0.939,270664,0.1,40767.4
262000,99928,0.948,240772,0.1,40823.5
263000,98130,0.933,247928,0.1,40880.0
264000,101469,0.943,270316,0.1,40938.3
265000,102937,0.953,245920,0.1,40995.6
266000,103037,0.931,272236,0.1,41052.2
267000,99497,0.927,289776,0.1,41109.7
268000,99717,0.948,261884,0.1,41167.2
269000,102933,0.939,284128,0.1,41223.5
270000,101260,0.945,248572,0.1,41279.9
271000,100127,0.943,259476,0.1,41338.1
272000,95846,0.933,280612,0.1,41394.2
273000,100620,0.94,284812,0.1,41452.1
274000,100844,0.934,286240,0.1,41508.8
275000,98699,0.932,237888,0.1,41564.8
276000,101796,0.951,290656,0.1,41623.1
277000,102470,0.944,239724,0.1,41681.1
278000,100180,0.94,289740,0.1,41735.3
279000,99353,0.946,235056,0.1,41790.1
280000,103932,0.942,286664,0.1,41849.0
281000,100066,0.94,232516,0.1,41906.4
282000,100575,0.936,251360,0.1,41961.6
283000,101019,0.94,250912,0.1,42016.7
284000,99930,0.945,240592,0.1,42073.4
285000,103677,0.942,220404,0.1,42131.5
286000,101659,0.941,262172,0.1,42187.6
287000,105736,0.945,269084,0.1,42245.5
288000,102546,0.933,268548,0.1,42303.0
289000,101717,0.933,267184,0.1,42362.1
290000,102417,0.946,290380,0.1,42419.9
291000,99786,0.937,233124,0.1,42474.7
292000,101126,0.932,284620,0.1,42530.4
293000,101623,0.934,286044,0.1,42588.9
294000,103986,0.948,262528,0.1,42648.2
295000,101025,0.954,242808,0.1,42703.4
296000,103895,0.943,195596,0.1,42760.0
297000,101872,0.949,257368,0.1,42817.8
298000,103415,0.949,264128,0.1,42876.1
299000,103663,0.95,271592,0.1,42931.7
300000,99529,0.94,247944,0.1,42986.5
301000,102116,0.949,237904,0.1,43043.8
302000,102299,0.943,269732,0.1,43102.6
303000,104587,0.946,261928,0.1,43159.1
304000,101636,0.939,272664,0.1,43215.0
305000,102947,0.935,275480,0.1,43272.3
306000,105010,0.942,238836,0.1,43331.7
307000,103826,0.931,267056,0.1,43388.4
308000,105664,0.944,237880,0.1,43445.7
309000,105767,0.955,268992,0.1,43504.4
310000,101243,0.949,247512,0.1,43562.6
311000,102237,0.931,247948,0.1,43619.5
312000,105278,0.95,292004,0.1,43676.8
313000,104303,0.942,262080,0.1,43735.7
314000,102755,0.948,282160,0.1,43794.8
315000,104402,0.961,265536,0.1,43853.1
316000,101877,0.94,266784,0.1,43908.5
317000,105715,0.948,248356,0.1,43966.9
318000,106033,0.946,259160,0.1,44027.7
319000,102817,0.936,196272,0.1,44085.3
320000,103387,0.94,237996,0.1,44141.4
321000,104439,0.947,274036,0.1,44199.3
322000,104808,0.953,277044,0.1,44264.0
323000,105171,0.949,241816,0.1,44321.7
324000,103070,0.947,249652,0.1,44372.2
325000,103562,0.941,279776,0.1,44431.2
326000,102489,0.943,258584,0.1,44490.4
327000,103959,0.942,293488,0.1,44551.8
328000,107001,0.939,276204,0.1,44610.0
329000,104668,0.946,295392,0.1,44653.2
330000,104325,0.94,256356,0.1,44709.4
331000,103449,0.949,288580,0.1,44755.0
332000,107228,0.954,279640,0.1,44800.5
333000,106409,0.947,260636,0.1,44858.0
334000,105758,0.944,249364,0.1,44913.7
335000,104621,0.943,281516,0.1,44971.3
336000,107668,0.953,270076,0.1,45029.1
337000,104385,0.944,261288,0.1,45083.4
338000,108749,0.962,281748,0.1,45140.7
339000,105453,0.953,235596,0.1,45197.5
340000,104075,0.941,262816,0.1,45253.3
341000,105969,0.942,281576,0.1,45309.3
342000,105637,0.934,270952,0.1,45363.8
343000,106630,0.944,316324,0.1,45420.6
344000,104165,0.938,279612,0.1,45478.0
345000,105225,0.938,305940,0.1,45533.5
346000,107338,0.948,256224,0.1,45589.3
347000,107469,0.953,281528,0.1,45646.5
348000,105512,0.936,271324,0.1,45703.2
349000,104229,0.931,281636,0.1,45758.7
350000,105345,0.96,262760,0.1,45813.8
351000,107632,0.959,269012,0.1,45870.4
352000,105239,0.954,247568,0.1,45925.6
353000,109391,0.954,263084,0.1,45983.3
354000,107595,0.951,281328,0.1,46040.4
355000,108696,0.959,273676,0.1,46097.6
356000,106759,0.948,270752,0.1,46154.1
357000,108593,0.957,261692,0.1,46212.7
358000,108501,0.959,268748,0.1,46269.3
359000,109231,0.946,260996,0.1,46327.7
360000,105243,0.935,267180,0.1,46384.4
361000,106235,0.936,281256,0.1,46443.9
362000,105350,0.947,301200,0.1,46502.5
363000,106149,0.938,277028,0.1,46557.1
364000,106882,0.939,249324,0.1,46619.5
365000,106564,0.941,255968,0.1,46678.5
366000,107062,0.945,240576,0.1,46737.8
367000,107672,0.947,231960,0.1,46796.8
368000,110066,0.947,266836,0.1,46846.1
369000,107507,0.945,278360,0.1,46909.7
370000,107914,0.949,270448,0.1,46964.8
371000,107010,0.951,267216,0.1,47025.1
372000,108596,0.952,277052,0.1,47089.2
373000,106076,0.943,289256,0.1,47147.9
374000,105878,0.949,268620,0.1,47212.0
375000,106023,0.948,281344,0.1,47272.7
376000,104476,0.945,252584,0.1,47330.6
377000,107507,0.949,262464,0.1,47390.4
378000,109481,0.947,261328,0.1,47452.4
379000,108752,0.932,276176,0.1,47511.8
380000,106055,0.948,229304,0.1,47574.5
381000,110723,0.964,288376,0.1,47637.4
382000,107744,0.947,217624,0.1,47699.7
383000,109388,0.952,260248,0.1,47761.7
384000,107616,0.945,280796,0.1,47824.9
385000,107906,0.944,289736,0.1,47888.3
386000,110655,0.96,268700,0.1,47950.7
387000,108830,0.933,237368,0.1,48011.5
388000,110283,0.967,282176,0.1,48075.4
389000,108548,0.952,246276,0.1,48138.2
390000,110348,0.956,269740,0.1,48200.1
391000,107010,0.945,243912,0.1,48259.9
392000,107651,0.941,282024,0.1,48318.2
393000,110853,0.953,277288,0.1,48377.5
394000,108704,0.947,267776,0.1,48434.8
395000,107591,0.942,286568,0.1,48495.4
396000,109749,0.951,281492,0.1,48561.5
397000,109904,0.955,263380,0.1,48627.1
398000,107993,0.951,284344,0.1,48694.6
399000,106774,0.939,290376,0.1,48760.7
400000,107740,0.935,289556,0.1,48807.5
401000,107387,0.953,286344,0.1,48851.9
402000,109810,0.951,246084,0.1,48896.1
403000,111375,0.954,271604,0.1,48941.4
404000,105829,0.951,265764,0.1,48984.7
405000,108511,0.945,261288,0.1,49030.4
406000,110364,0.951,269312,0.1,49076.5
407000,112821,0.96,256956,0.1,49123.0
408000,109590,0.929,268380,0.1,49167.5
409000,108161,0.951,247296,0.1,49210.5
410000,108326,0.95,282568,0.1,49253.6
411000,108936,0.953,275596,0.1,49296.9
412000,110068,0.952,286520,0.1,49340.2
413000,109400,0.948,246220,0.1,49383.9
414000,109465,0.948,246288,0.1,49427.2
415000,109754,0.942,279440,0.1,49471.1
416000,110024,0.951,245892,0.1,49515.2
