games,seconds,sec_per_1000
1000,5.8,5.8
2000,13.5,7.7
3000,22.1,8.6
4000,31.0,8.9
5000,40.9,9.9
6000,51.1,10.2
7000,71.3,20.2
8000,116.9,45.6
9000,157.1,40.2
10000,201.8,44.7
11000,255.2,53.4
12000,289.9,34.7
13000,304.0,14.1
14000,318.1,14.1
15000,332.8,14.7
16000,381.2,48.4
17000,445.7,64.5
18000,511.4,65.7
19000,575.2,63.8
20000,639.0,63.8
21000,711.3,72.3
22000,780.4,69.1
23000,850.7,70.3
24000,928.4,77.7
25000,997.9,69.5
26000,1081.4,83.5
27000,1160.8,79.4
28000,1242.4,81.6
29000,1315.0,72.6
30000,1392.3,77.3
31000,1473.5,81.2
32000,1557.7,84.2
33000,1647.3,89.6
34000,1733.6,86.3
35000,1820.2,86.6
36000,1913.1,92.9
37000,2007.9,94.8
38000,2101.2,93.3
39000,2199.6,98.4
40000,2295.4,95.8
41000,2393.6,98.2
42000,2491.1,97.5
43000,2588.3,97.2
44000,2684.8,96.5
45000,2779.0,94.2
46000,2877.9,98.9
47000,2975.7,97.8
48000,3073.6,97.9
49000,3171.4,97.8
50000,3274.8,103.4
51000,3376.2,101.4
52000,3481.1,104.9
53000,3591.0,109.9
54000,3703.5,112.5
55000,3826.1,122.6
56000,3928.3,102.2
57000,4034.4,106.1
58000,4143.2,108.8
59000,4252.0,108.8
60000,4346.2,94.2
61000,4459.3,113.1
62000,4568.8,109.5
63000,4676.1,107.3
64000,4786.2,110.1
65000,4896.7,110.5
66000,5007.9,111.2
67000,5103.8,95.9
68000,5207.6,103.8
69000,5320.4,112.8
70000,5433.1,112.7
71000,5548.2,115.1
72000,5661.9,113.7
73000,5772.9,111.0
74000,6449.4,676.5
75000,6481.0,31.6
76000,6507.7,26.7
77000,6533.5,25.8
78000,6611.4,77.9
79000,15620.2,9008.8
80000,15663.6,43.4
81000,15698.9,35.3
82000,15945.5,246.6
83000,15998.4,52.9
84000,16084.9,86.5
85000,16149.7,64.8
86000,16177.7,28.0
87000,16206.2,28.5
88000,16239.4,33.2
89000,16318.3,78.9
90000,16420.5,102.2
91000,16503.1,82.6
92000,16599.7,96.6
93000,16689.6,89.9
94000,16735.3,45.7
95000,16764.4,29.1
96000,16795.0,30.6
97000,16825.3,30.3
98000,16856.9,31.6
99000,16891.0,34.1
100000,16924.6,33.6
101000,16959.4,34.8
102000,16994.3,34.9
103000,17029.2,34.9
104000,17071.8,42.6
105000,17173.8,102.0
106000,17274.1,100.3
107000,17377.9,103.8
108000,17477.0,99.1
109000,17579.6,102.6
110000,17679.3,99.7
111000,31057.2,13377.9
112000,31104.8,47.6
113000,31212.7,107.9
114000,31305.9,93.2
115000,31470.6,164.7
116000,31614.9,144.3
117000,31763.0,148.1
118000,31909.2,146.2
119000,32055.0,145.8
120000,32202.9,147.9
121000,32349.3,146.4
122000,32495.5,146.2
123000,32654.4,158.9
124000,32805.3,150.9
125000,32954.4,149.1
126000,33016.9,62.5
127000,33062.9,46.0
128000,33110.5,47.6
129000,33156.8,46.3
130000,33203.5,46.7
131000,33248.4,44.9
132000,33295.9,47.5
133000,33341.1,45.2
134000,33399.1,58.0
135000,33450.7,51.6
136000,33499.3,48.6
137000,33548.7,49.4
138000,33595.3,46.6
139000,33641.4,46.1
140000,33694.8,53.4
141000,33749.8,55.0
142000,33803.5,53.7
143000,33864.8,61.3
144000,33915.1,50.3
145000,33965.4,50.3
146000,34020.3,54.9
147000,34081.7,61.4
148000,34146.2,64.5
149000,34208.0,61.8
150000,34265.9,57.9
151000,34315.0,49.1
152000,34365.4,50.4
153000,34412.4,47.0
154000,34462.0,49.6
155000,34512.8,50.8
156000,34560.2,47.4
157000,34611.3,51.1
158000,34659.7,48.4
159000,34709.5,49.8
160000,34763.5,54.0
161000,34813.7,50.2
162000,34865.8,52.1
163000,34917.8,52.0
164000,34963.7,45.9
165000,35023.4,59.7
166000,35083.3,59.9
167000,35138.9,55.6
168000,35192.7,53.8
169000,35245.4,52.7
170000,35296.3,50.9
171000,35351.3,55.0
172000,35404.6,53.3
173000,35457.9,53.3
174000,35510.4,52.5
175000,35562.0,51.6
176000,35616.2,54.2
177000,35665.8,49.6
178000,35715.9,50.1
179000,35767.2,51.3
180000,35819.7,52.5
181000,35871.6,51.9
182000,35922.3,50.7
183000,35973.8,51.5
184000,36026.4,52.6
185000,36080.5,54.1
186000,36141.2,60.7
187000,36195.1,53.9
188000,36247.4,52.3
189000,36299.5,52.1
190000,36351.3,51.8
191000,36401.9,50.6
192000,36451.8,49.9
193000,36502.3,50.5
194000,36554.3,52.0
195000,36606.6,52.3
196000,36659.5,52.9
197000,36714.8,55.3
198000,36767.9,53.1
199000,36821.6,53.7
200000,36868.4,46.8
201000,36915.7,47.3
202000,36961.0,45.3
203000,37013.3,52.3
204000,37074.4,61.1
205000,37144.1,69.7
206000,37213.7,69.6
207000,37283.8,70.1
208000,37352.8,69.0
209000,37418.8,66.0
210000,37484.7,65.9
211000,37556.4,71.7
212000,37631.1,74.7
213000,37707.8,76.7
214000,37783.7,75.9
215000,37857.1,73.4
216000,37924.8,67.7
217000,37994.6,69.8
218000,38062.2,67.6
219000,38124.8,62.6
220000,38189.8,65.0
221000,38258.6,68.8
222000,38328.1,69.5
223000,38397.0,68.9
224000,38465.8,68.8
225000,38533.7,67.9
226000,38602.4,68.7
227000,38673.1,70.7
228000,38743.1,70.0
229000,38816.6,73.5
230000,38886.6,70.0
231000,38957.2,70.6
232000,39028.7,71.5
233000,39100.3,71.6
234000,39171.9,71.6
235000,39244.6,72.7
236000,39316.4,71.8
237000,39390.7,74.3
238000,39461.7,71.0
239000,39533.2,71.5
240000,39601.5,68.3
241000,39657.9,56.4
242000,39714.8,56.9
243000,39769.5,54.7
244000,39822.1,52.6
245000,39877.5,55.4
246000,39934.6,57.1
247000,39991.3,56.7
248000,40045.9,54.6
249000,40098.0,52.1
250000,40152.9,54.9
251000,40209.1,56.2
252000,40264.2,55.1
253000,40317.8,53.6
254000,40373.3,55.5
255000,40429.3,56.0
256000,40484.8,55.5
257000,40539.8,55.0
258000,40597.8,58.0
259000,40656.3,58.5
260000,40713.2,56.9
261000,40767.4,54.2
262000,40823.5,56.1
263000,40880.0,56.5
264000,40938.3,58.3
265000,40995.6,57.3
266000,41052.2,56.6
267000,41109.7,57.5
268000,41167.2,57.5
269000,41223.5,56.3
270000,41279.9,56.4
271000,41338.1,58.2
272000,41394.2,56.1
273000,41452.1,57.9
274000,41508.8,56.7
275000,41564.8,56.0
276000,41623.1,58.3
277000,41681.1,58.0
278000,41735.3,54.2
279000,41790.1,54.8
280000,41849.0,58.9
281000,41906.4,57.4
282000,41961.6,55.2
283000,42016.7,55.1
284000,42073.4,56.7
285000,42131.5,58.1
286000,42187.6,56.1
287000,42245.5,57.9
288000,42303.0,57.5
289000,42362.1,59.1
290000,42419.9,57.8
291000,42474.7,54.8
292000,42530.4,55.7
293000,42588.9,58.5
