games,mean_score,rate_2048,max_score,alpha,seconds
1000,9262,0.014,30112,0.0991,7.0
2000,14146,0.102,38048,0.0982,18.4
3000,16437,0.16,51216,0.0973,32.2
4000,19473,0.282,57612,0.0964,51.3
5000,20105,0.311,60600,0.0955,67.0
6000,22193,0.389,72280,0.0946,83.2
7000,23064,0.436,69172,0.0937,100.3
8000,24532,0.479,67172,0.0928,117.9
9000,25777,0.517,75188,0.0919,140.4
10000,26595,0.555,78264,0.091,159.8
11000,27771,0.586,79296,0.0901,180.6
12000,28443,0.603,78820,0.0892,201.7
13000,29824,0.645,79860,0.0883,223.5
14000,31240,0.674,120080,0.0874,246.0
15000,31188,0.66,109316,0.0865,270.2
16000,33119,0.723,80796,0.0856,297.9
17000,33448,0.73,80588,0.0847,328.6
18000,34667,0.74,83064,0.0838,355.9
19000,35470,0.753,84080,0.0829,381.2
20000,36583,0.773,102664,0.082,405.8
21000,36750,0.778,83748,0.0811,435.2
22000,38094,0.779,113540,0.0802,461.8
23000,38682,0.771,121160,0.0793,480.6
24000,40835,0.814,123412,0.0784,500.2
25000,41231,0.832,109228,0.0775,519.7
26000,43066,0.838,102820,0.0766,539.3
27000,43150,0.832,108744,0.0757,558.9
28000,41835,0.818,124848,0.0748,577.5
29000,43995,0.837,113948,0.0739,596.8
30000,44968,0.845,126804,0.073,616.2
31000,46918,0.85,149192,0.0721,636.7
32000,46904,0.864,125612,0.0712,657.2
33000,46675,0.845,152120,0.0703,677.5
34000,47114,0.847,115400,0.0694,698.4
35000,47998,0.867,133240,0.0685,719.7
36000,48314,0.866,132856,0.0676,741.3
37000,49469,0.875,148592,0.0667,763.4
38000,49770,0.857,134824,0.0658,785.2
39000,50210,0.867,125544,0.0649,807.2
40000,51290,0.872,133076,0.064,829.1
41000,49502,0.876,149764,0.0631,850.6
42000,50629,0.876,138460,0.0622,872.5
43000,50958,0.886,131836,0.0613,894.6
44000,52402,0.896,164500,0.0604,917.1
45000,52242,0.888,156448,0.0595,939.6
46000,51112,0.881,132540,0.0586,961.8
47000,54862,0.896,134552,0.0577,985.5
48000,54263,0.902,133164,0.0568,1008.8
49000,53814,0.888,148832,0.0559,1032.1
50000,54491,0.88,158456,0.055,1055.2
51000,54005,0.906,134644,0.0541,1078.1
52000,54416,0.902,135332,0.0532,1101.3
53000,54760,0.893,132964,0.0523,1124.8
54000,54660,0.891,146664,0.0514,1147.8
55000,54718,0.9,137880,0.0505,1171.5
56000,56326,0.899,133228,0.0496,1196.0
57000,54854,0.88,144508,0.0487,1220.2
58000,55512,0.91,133060,0.0478,1244.2
59000,55681,0.904,133852,0.0469,1268.6
60000,56126,0.895,144288,0.046,1292.6
61000,56722,0.906,157872,0.0451,1316.7
62000,56523,0.903,156436,0.0442,1340.6
63000,57077,0.915,148852,0.0433,1364.8
64000,57364,0.9,133804,0.0424,1389.0
65000,57611,0.919,134436,0.0415,1413.5
66000,57565,0.906,134748,0.0406,1438.7
67000,57664,0.904,156868,0.0397,1463.8
68000,59401,0.919,151756,0.0388,1489.4
69000,58859,0.918,156204,0.0379,1514.8
70000,58014,0.905,133200,0.037,1539.6
71000,59371,0.934,146520,0.0361,1564.3
72000,59030,0.918,143080,0.0352,1589.3
73000,59715,0.916,134988,0.0343,1614.2
74000,58469,0.895,134436,0.0334,1638.7
75000,59071,0.902,133696,0.0325,1664.2
76000,58258,0.907,135872,0.0316,1689.4
77000,59784,0.919,137712,0.0307,1715.2
78000,59508,0.911,155452,0.0298,1740.7
79000,59102,0.92,139344,0.0289,1766.2
80000,59409,0.909,145932,0.028,1791.0
81000,61400,0.92,162496,0.0271,1816.9
82000,61197,0.931,164536,0.0262,1842.6
83000,60805,0.927,155204,0.0253,1868.4
84000,60790,0.923,146468,0.0244,1894.4
85000,61644,0.927,144136,0.0235,1921.0
86000,61112,0.919,138108,0.0226,1947.5
87000,59606,0.91,144172,0.0217,1972.7
88000,61291,0.928,134236,0.0208,1999.0
89000,59888,0.901,153356,0.0199,2024.1
90000,62257,0.919,143992,0.019,2050.1
91000,62488,0.943,158916,0.0181,2076.3
92000,60976,0.912,149616,0.0172,2101.8
93000,61573,0.937,147644,0.0163,2127.6
94000,62871,0.921,140100,0.0154,2154.1
95000,62187,0.931,138520,0.0145,2180.6
96000,61662,0.921,134392,0.0136,2207.0
97000,61001,0.931,143444,0.0127,2232.9
98000,62042,0.941,141288,0.0118,2258.9
99000,63268,0.932,154820,0.0109,2285.5
100000,63728,0.94,140012,0.01,2311.7
